País,Suicídio: (2020),Suicídio: (2019)
Samoa Americana,,
Ilhas Marshall,,
São Martinho,,
Ilhas Marianas do Norte,,
Samoa,,
Japão,58%,42%
São Cristóvão e Névis,,
Paraguai,38%,62%
Palau,,
Butão,,
Irã,51%,49%
Groenlândia,,
Colômbia,37%,63%
Guiana,,
Guam,,
Coreia do Sul,50%,50%
Cabo Verde,,
San Marino,,
Antígua e Barbuda,,
Ilhas Faroé,,
Turquia,44%,56%
Essuatíni,,
Estados Unidos,47%,53%
Brasil,41%,59%
Micronésia,,
Porto Rico,,
São Bartolomeu,,
Hong Kong,45%,55%
Ilha de Man,,
Honduras,,
Guernsey,,
Brunei,,
Austrália,51%,49%
Maurício,,
Gibraltar,,
Nova Zelândia,50%,50%
Macau,,
Irlanda,54%,46%
Costa Rica,43%,57%
Nepal,,
Trinidad e Tobago,,
Guiana Francesa,,
Santa Lúcia,,
Canadá,49%,51%
Singapura,48%,52%
Filipinas,48%,52%
Chile,43%,57%
Belize,,
Barbados,,
Seicheles,,
Noruega,50%,50%
Granada,,
Países Baixos Caribenhos,,
México,45%,55%
Sint Maarten,,
Panamá,,
Reino Unido,51%,49%
Itália,48%,52%
Argentina,47%,53%
Fiji,,
Taiwan,50%,50%
Bermudas,,
Suriname,,
Tonga,,
Namíbia,,
Ilhas Cook,,
Egito,41%,59%
El Salvador,,
Israel,45%,55%
Nicarágua,,
Afeganistão,,
São Vicente e Granadinas,,
Ilhas Turcas e Caicos,,
Jamaica,,
Bolívia,,
Botsuana,,
Bahamas,,
Jersey,,
Ilhas Cayman,,
Santa Helena,,
Maldivas,,
Suécia,53%,47%
Zimbábue,,
Líbano,,
Peru,48%,52%
Martinica,,
Uruguai,,
Ilhas Virgens Britânicas,,
Reunião,,
Cuba,,
China,,
Curaçao,,
África do Sul,48%,52%
Ilhas Virgens Americanas,,
Malta,,
Espanha,45%,55%
Islândia,,
Aruba,,
Índia,64%,36%
Dominica,,
Ilhas Salomão,,
Bélgica,50%,50%
França,48%,52%
Malásia,48%,52%
Guadalupe,,
Equador,43%,57%
Saara Ocidental,,
Indonésia,48%,52%
Andorra,,
Liechtenstein,,
Jordânia,,
Emirados Árabes Unidos,55%,45%
Azerbaijão,,
Guatemala,,
Dinamarca,49%,51%
Grécia,46%,54%
Barein,,
Países Baixos,50%,50%
Marrocos,53%,47%
Omã,,
Montenegro,,
Moçambique,,
Líbia,,
Catar,,
Kuwait,,
Malaui,,
Luxemburgo,,
Finlândia,50%,50%
Suíça,47%,53%
Nova Caledônia,,
Djibuti,,
Portugal,51%,49%
Mônaco,,
Sérvia,50%,50%
República Dominicana,,
Chipre,,
Sudão,,
Vanuatu,,
Bósnia e Herzegovina,,
Bangladesh,61%,39%
Polinésia Francesa,,
Síria,,
Palestina,,
Quênia,,
Argélia,57%,43%
Eslovênia,,
Mianmar (Birmânia),,
Iraque,54%,46%
Angola,,
Haiti,,
Polônia,50%,50%
Tchéquia,50%,50%
Sri Lanka,,
Mauritânia,,
Lesoto,,
Gabão,,
Estônia,,
Nigéria,40%,60%
Zâmbia,,
Paquistão,56%,44%
Sudão do Sul,,
Alemanha,49%,51%
Croácia,52%,48%
Papua-Nova Guiné,,
Hungria,49%,51%
Ruanda,,
Mayotte,,
Tunísia,,
Venezuela,51%,49%
Gana,,
Áustria,50%,50%
Romênia,45%,55%
Guiné Equatorial,,
Arábia Saudita,52%,48%
Togo,,
Quirguistão,,
Burundi,,
Geórgia,,
Rússia,46%,54%
Letônia,,
Cazaquistão,45%,55%
Iêmen,,
Eslováquia,,
Benin,,
Ilhas Aland,,
Madagascar,,
Senegal,,
Macedônia do Norte,,
Bielorrússia,,
Lituânia,,
República do Congo,,
Timor-Leste,,
Etiópia,,
Armênia,,
Gâmbia,,
Moldávia,,
Serra Leoa,,
Turcomenistão,,
Tailândia,49%,51%
Uganda,,
Libéria,,
Camboja,,
Mongólia,,
Camarões,,
Bulgária,,
Ucrânia,50%,50%
Níger,,
Somália,,
Mali,,
Albânia,,
Guiné,,
Chade,,
Costa do Marfim,,
Tadjiquistão,,
Tanzânia,,
Kosovo,,
Burquina Faso,,
Vietnã,47%,53%
Uzbequistão,,
Laos,,
Congo - Kinshasa,,
Ilhas Malvinas (Ilhas Falkland),,
São Pedro e Miquelão,,
República Centro-Africana,,
Guiné-Bissau,,
Anguila,,
Antártida,,
Territórios Franceses do Sul,,
Ilha Bouvet,,
Ilhas Cocos (Keeling),,
Comores,,
Ilha Christmas,,
Eritreia,,
Ilhas Heard e McDonald,,
Território Britânico do Oceano Índico,,
Quiribati,,
Montserrat,,
Ilha Norfolk,,
Niue,,
Nauru,,
Ilhas Pitcairn,,
Coreia do Norte,,
Ilhas Geórgia do Sul e Sandwich do Sul,,
Svalbard e Jan Mayen,,
São Tomé e Príncipe,,
Tokelau,,
Tuvalu,,
Ilhas Menores Distantes dos EUA,,
Cidade do Vaticano,,
Wallis e Futuna,,
